CV_ID,Experience,Language Level - French,Match_ID,Status,4. CV sent to Client,4. Client initial validation date,7. Client final approval date,MatchStatus,response_time,decision_time,Gender
1624,[8+],A2,10268,Rejected,,,,0,,,F
1635,[2-4],B1,10119,Candidate refused,2017-01-10,2017-01-10,2017-01-13,0,0 days 00:00:00.000000000,3 days 00:00:00.000000000,F
1635,[2-4],B1,10215,Rejected,,,,0,,,F
1635,[2-4],B1,10236,A05 - Onboarding,2017-01-10,2017-01-10,2017-01-17,1,0 days 00:00:00.000000000,7 days 00:00:00.000000000,F
1695,[8+],C1,10097,D01 – Resignation,2017-01-11,2017-01-11,2017-01-11,1,0 days 00:00:00.000000000,0 days 00:00:00.000000000,M
1747,[8+],A1,10008,A03 - Offer declined,2017-01-23,2017-01-24,2017-04-11,1,1 days 00:00:00.000000000,77 days 00:00:00.000000000,M
1762,[8+],A2,10306,CV refused,2017-01-25,2017-01-27,,0,2 days 00:00:00.000000000,,F
1762,[8+],A2,10307,A05 - Onboarding,2017-01-26,2017-01-26,2017-03-20,1,0 days 00:00:00.000000000,53 days 00:00:00.000000000,F
1762,[8+],A2,10445,Candidate refused,2017-02-23,2017-02-23,2017-03-10,0,0 days 00:00:00.000000000,15 days 00:00:00.000000000,F
1786,[8+],B2,10304,A05 - Onboarding,2017-01-25,2017-01-25,2017-02-01,1,0 days 00:00:00.000000000,7 days 00:00:00.000000000,F
1786,[8+],B2,10305,CV refused,2017-01-27,2017-01-27,,0,0 days 00:00:00.000000000,,F
1793,[5-8],A2,10290,A05 - Onboarding,2017-01-24,2017-01-24,2017-02-02,1,0 days 00:00:00.000000000,9 days 00:00:00.000000000,F
1797,[5-8],A2,10314,A03 - Offer declined,2017-01-26,2017-01-26,2017-02-02,1,0 days 00:00:00.000000000,7 days 00:00:00.000000000,M
1799,[8+],B1,10316,A05 - Onboarding,2017-01-26,2017-01-26,2017-01-26,1,0 days 00:00:00.000000000,0 days 00:00:00.000000000,M
1805,[8+],A1,10319,A03 - Process Cancelled,2017-02-02,2017-02-02,2017-02-10,1,0 days 00:00:00.000000000,8 days 00:00:00.000000000,F
1809,[8+],A1,10318,A03 - Offer declined,2017-02-02,2017-02-02,2017-02-09,1,0 days 00:00:00.000000000,7 days 00:00:00.000000000,F
1812,[5-8],A1,10352,D01 – Resignation,2017-02-02,2017-02-02,2017-02-10,1,0 days 00:00:00.000000000,8 days 00:00:00.000000000,F
1813,[2-4],C2,10317,A05 - Onboarding,2017-02-01,2017-02-01,2017-02-01,1,0 days 00:00:00.000000000,0 days 00:00:00.000000000,M
1813,[2-4],C2,12788,A03 - Process Cancelled,2017-01-22,2017-01-22,2017-01-23,1,0 days 00:00:00.000000000,1 days 00:00:00.000000000,M
1814,[8+],A2,10327,A05 - Onboarding,2017-02-02,2017-02-02,2017-02-10,1,0 days 00:00:00.000000000,8 days 00:00:00.000000000,M
